p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
6,5,6,6,5,7,5,5,7,7,6,5,4,6,6,6,5,2,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,7,5,6,6,5,5,7,7,7,6,2,5,1,4,7,7,2,2,7,3,5,2,2,4,5,2,6,4,7
6,6,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,2,7,7,7,1,4,7,1,6,1,1,1,1,7,7,1,1,1,1,1,1,5,4,6,1,7,1,7
4,5,4,5,5,5,6,4,5,5,3,5,3,5,6,4,5,5,5,5,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,5,6,4,4,5,5,4,6,5,4,1,4,3,4,4,2,7,2,2,6,2,2,4,6,6,4,2,4,4,6
4,5,4,6,6,5,5,4,5,7,4,3,5,5,5,7,4,5,3,4,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,4,6,5,4,4,4,5,5,3,5,4,6,6,7,4,7,7,7,7,7,4,4,7,4,4,3,4,4,3,6
5,6,7,7,5,5,7,7,5,6,7,5,6,5,5,7,4,3,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,7,3,7,6,6,6,3,7,1,5,3,2,2,2,5,6,1,2,5,2,2,2,1,2,2,2,3,4,3
4,3,4,4,5,6,6,4,4,5,4,3,3,5,5,5,5,5,3,5,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,5,5,5,4,5,5,5,5,3,4,3,4,5,5,5,5,6,6,5,5,5,3,5,4,6,5,5,5,3,5
6,6,6,6,7,5,7,5,6,7,5,5,7,7,7,3,6,4,6,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,5,6,4,3,4,5,5,4,5,1,1,4,4,6,7,7,5,5,3,4,2,5,6,4,6,7,3,4,5
6,6,5,6,5,5,7,5,5,7,6,4,5,5,5,7,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,5,4,2,1,5,4,3,4,7,3,3,4,5,1,3,3,4,4,2,5,4,2,3,3,3,2,1,3,1,4
6,6,5,7,7,4,7,5,7,7,7,5,7,7,6,7,6,1,6,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,5,5,7,6,6,3,5,7,2,6,6,2,3,2,5,6,2,1,5,4,4,3,2,5,3,2,5,4,6
6,6,7,7,6,5,7,7,5,5,7,7,5,7,1,6,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,6,4,7,5,7,7,4,7,4,6,6,4,2,2,4,4,2,2,6,2,1,1,2,2,2,2,6,2,5
5,4,7,7,5,6,7,7,6,7,7,7,7,7,3,7,7,7,6,7,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,5,1,7,7,7,1,1,7,1,7,6,7,1,4,4,5,4,4,3,6,3,2,6,1,4,4,4,4,4
5,5,5,5,3,4,6,5,4,5,4,2,3,3,5,3,3,5,6,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,6,5,2,6,5,5,6,5,6,3,5,3,3,3,5,6,5,4,4,2,3,3,3,4,5,2,3,2,5
4,3,5,5,5,5,7,4,4,5,3,5,7,7,1,3,5,7,4,5,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,5,7,2,4,4,2,4,5,7,5,4,3,2,4,4,6,5,5,4,5,2,4,3,4,4,3,3,4,2,5
5,3,7,6,5,7,7,7,6,6,5,5,7,7,7,5,7,2,5,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,3,3,3,4,5,5,3,6,3,6,4,4,4,5,6,6,7,3,4,5,3,4,3,5,4,2,6,2,6
6,4,7,7,5,7,6,5,5,6,6,3,6,7,7,7,7,7,5,7,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,6,4,6,4,7,4,4,7,4,6,5,4,2,2,7,7,3,5,4,4,2,2,4,4,1,2,6,2,5
6,6,7,7,5,7,7,5,7,7,7,6,6,6,7,7,7,7,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,7,7,5,7,5,7,1,6,5,2,2,1,7,6,1,1,6,1,2,2,1,4,5,1,3,1,7
5,6,5,6,5,5,6,6,6,6,5,5,6,4,2,7,5,3,5,5,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,6,7,6,5,5,3,6,6,6,6,4,5,3,5,3,4,6,5,5,5,5,4,3,5,3,5,4,3,4,6
4,4,5,5,5,7,7,3,5,7,2,1,5,5,1,6,5,7,4,4,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,5,4,3,2,1,4,5,2,4,4,3,3,4,5,4,4,3,4,5,4,3,4,5,5,5,4,5,5,5
4,4,7,7,4,7,7,6,6,5,4,4,5,6,5,4,7,7,6,6,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,7,3,5,7,7,7,5,5,7,5,6,3,4,6,4,7,7,1,3,3,2,3,2,2,4,5,2,5,6,6
6,5,6,7,6,5,6,5,5,5,5,5,5,5,3,5,6,6,6,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,5,5,6,5,6,4,5,5,7,5,5,4,2,4,3,6,6,4,4,5,3,3,3,6,5,5,5,5,3,6
5,5,4,5,5,5,7,5,5,5,3,5,3,6,7,7,5,5,3,3,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,5,5,5,5,4,5,6,5,4,5,4,5,2,3,3,6,5,6,2,6,2,5,5,5,7,5,4,5,2,3
6,5,5,5,6,4,5,5,4,5,5,3,6,6,3,7,6,4,4,5,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,2,6,6,2,5,5,6,6,3,5,2,5,4,6,3,6,6,5,4,4,3,3,3,2,3,4,4,4,4,5
3,2,2,3,2,4,6,2,4,2,2,1,6,6,3,4,3,7,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,3,7,7,3,3,2,7,7,3,7,7,4,5,7,4,6,7,6,7,4,5,6,6,3,4,7,5,2,7,2
4,4,6,7,5,6,7,6,5,6,6,3,5,4,2,6,6,6,4,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,3,5,4,5,3,3,3,5,5,5,4,2,2,4,3,5,7,2,2,5,2,3,2,4,6,6,4,2,2,5
7,6,5,5,5,7,7,6,7,7,3,2,5,6,6,6,7,6,5,4,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,3,7,7,4,5,3,7,7,3,7,6,4,6,5,7,7,7,5,6,7,4,5,2,4,7,5,3,1,5,5
5,6,7,7,5,5,7,6,5,6,7,7,7,6,7,7,7,7,7,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,2,7,6,7,2,1,7,1,6,3,4,2,4,4,5,2,1,5,2,2,4,2,4,4,2,4,2,5
6,6,6,7,6,7,7,6,7,7,7,6,5,7,3,7,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,5,7,5,7,4,5,7,3,5,5,4,2,2,2,6,7,2,2,5,2,2,1,4,7,4,2,5,2,6
6,6,5,7,7,7,7,5,6,6,6,6,4,4,5,3,5,5,5,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,4,7,7,4,6,3,7,7,2,7,5,6,4,5,4,7,6,4,6,6,4,5,4,4,5,5,4,3,4,6
5,6,7,7,5,7,7,5,5,5,7,6,5,6,1,7,7,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,7,3,5,7,7,7,3,7,7,1,5,6,2,2,2,6,3,2,2,5,3,2,2,3,6,3,3,5,2,6
6,5,6,6,5,6,6,4,5,7,6,5,4,6,6,7,5.6,6,5,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,5,6,4,3,2,7,2,2,1,2,2,2,6,4,2,1,5,2,2,2,2,4,3,3,4,1,3
4,5,5,6,6,6,5,5,4,5,5,4,3,4,5,5,5,5,3,5,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,5,6,7,6,6,5,7,7,5,7,4,3,3,4,5,5,6,5,2,5,4,2,2,3,4,3,3,3,4,3
5,4,7,7,5,7,7,5,5,7,7,5,5,7,4,7,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,2,3,5,5,4,5,4,6,3,3,3,2,3,2,5,7,2,2,4,2,2,2,2,1,2,1,1,2,5
3,2,6,2,1,2,7,3,4,4,3,3,3,7,4,3,2,5,2,5,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,4,7,6,3,3,3,6,5,4,7,4,6,2,6,5,7,7,7,7,7,3,4,6,4,6,3,2,2,2,5
5,4,3,5,5,5,7,4,5,6,4,5,7,7,6,6,5,6,5,4,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,2,5,7,5,6,7,4,7,7,4,6,6,5,4,3,6,6,3,2,5,4,1,1,3,6,5,4,3,4,6
5,7,6,5,7,6,6,5,7,7,5,7,5,7,5,4,7,7,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,7,7,7,7,7,7,7,7,7,7,5,4,1,1,4,3,7,4,1,6,4,4,3,2,5,6,3,4,4,4
4,5,5,4,5,6,5,5,5,5,4,5,4,5,5,6,5,5,4,5,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,5,5,4,4,5,4,5,4,5,4,5,5,4,4,3,5,6,2,4,4,4,3,2,4,4,3,2,3,5,5
4,3,5,5,3,6,5,5,5,6,5,5,4,5,7,7,5,5,5,6,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,4,4,6,5,5,4,5,5,4,4,4,3,4,6,6,6,4,4,6,3,4,4,4,5,3,3,5,3,4
5,4,5,4,4,4,5,3,3,3,3,5,5,1,4,1,5,4,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,4,5,5,3,4,2,6,5,3,5,2,4,3,5,2,4,5,3,3,5,2,3,5,2,2,3,5,3,4,6
5,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,7,7,7,7,2,5,4,7,4,5,6,7,1,1,6,3,1,1,3,5,1,1,4,1,6
7,7,7,7,7,7,4,4,7,7,7,7,4,7,7,7,7,7,7,7,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,7,7,1,1,7,1,7,1,2,1,1,2,5,2,2,5,2,2,2,2,4,5,3,7,2,6
6,5,3,3,6,7,7,5,7,5,1,3,5,7,5,5,5,7,5,5,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,6,3,3,5,4,6,5,3,6,7,6,3,3,6,4,7,3,5,5,4,7,3,6,7,6,3,1,4,3
4,6,7,7,5,6,7,6,5,7,5,5,5,7,5,6,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,7,7,1,1,7,1,4,7,2,2,2,6,3,2,3,6,3,2,4,1,2,4,1,4,4,6
5,6,5,7,5,4,6,6,5,6,6,6,6,6,5,7,6,3,6,7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,4,5,6,6,7,4,6,5,4,5,3,3,4,6,4,4,6,1,4,3,4,6,3,3,4,3,7
6,5,7,6,6,7,7,6,5,6,6,4,5,5,4,7,5,7,5,7,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,6,5,4,4,4,5,4,4,5,4,7,3,5,4,7,7,4,4,6,4,4,2,5,4,4,4,4,4,6
4,5,4,5,5,3,4,4,5,6,3,2,4,5,4,5,4,4,5,5,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,4,6,4,3,4,2,4,4,3,4,3,4,3,5,5,5,6,4,5,4,3,5,5,3,3,3,4,6,4,4
3,5,6,7,4,7,7,5,5,5,6,5,6,7,6,7,6,6,6,5,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,5,6,7,5,6,5,6,6,6,5,3,5,4,5,4,7,7,3,3,7,3,3,5,4,6,3,2,5,4,6
6,5,7,6,6,5,6,5,6,6,7,6,7,5,5,2,6,5,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,7,7,7,6,6,7,5,5,4,3,2,3,3,5,2,1,5,2,2,4,3,4,5,2,6,2,6
4,4,7,6,5,5,5,5,5,1,5,5,7,4,1,6,7,3,4,5,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,6,6,6,5,5,6,6,6,7,6,4,5,6,2,3,5,7,4,5,4,4,4,5,5,3,2,5,5,4,6
6,6,6,6,7,6,7,5,6,6,6,5,6,6,5,6,6,3,6,6,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,6,7,7,6,6,6,7,7,6,7,6,6,4,6,5,6,7,4,5,6,3,3,4,4,5,6,4,6,3,5
3,3,7,6,4,5,5,6,5,6,6,4,6,6,6,7,6,6,6,6,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,5,5,6,6,2,2,7,4,5,5,4,3,4,6,6,3,2,6,1,4,4,5,3,2,5,4,2,6
5,5,6,7,5,6,7,5,5,5,7,5,7,5,1,7,6,6,5,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,6,3,4,4,5,3,4,4,7,3,4,3,3,2,3,6,6,2,2,6,2,2,2,2,2,4,2,3,4,3
6,5,7,7,6,5,7,5,5,6,3,2,6,3,6,7,7,4,5,6,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,6,5,5,6,7,7,5,4,7,4,6,7,4,7,5,6,7,7,2,6,2,4,4,4,3,6,4,5,2,4
6,6,5,5,6,5,7,5,6,4,5,4,4,4,1,7,6,5,6,5,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,5,5,4,5,6,3,7,5,6,4,3,4,2,4,4,6,7,4,2,4,3,1,2,6,3,3,2,2,1,5
5,5,6,6,6,6,7,5,5,6,5,3,6,5,4,5,6,5,5,5,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3,5,5,5,5,3,6,6,6,5,5,7,4,5,4,6,7,5,1,6,2,2,4,3,4,5,4,3,3,6
5,6,7,7,6,6,7,5,6,7,6,6,6,7,2,7,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,7,6,5,5,5,5,6,7,5,7,6,4,2,3,6,7,1,2,6,4,2,2,5,6,6,3,5,3,6
5,5,6,7,4,5,7,5,6,4,6,6,6,5,3,6,5,4,5,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3,6,4,4,6,2,4,6,7,7,4,5,3,4,5,6,6,2,2,4,2,2,4,2,5,4,3,4,2,7
7,5,7,7,5,7,7,7,7,7,5,5,7,4,1,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,4,5,5,7,6,1,4,7,1,3,2,4,1,4,7,7,1,1,7,1,2,1,5,4,3,1,7,1,7
5,4,6,6,4,6,7,6,6,7,6,4,7,4,7,7,7,6,5,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,6,6,5,5,5,6,6,7,5,5,4,2,3,2,5,6,2,2,4,2,2,2,2,4,5,2,5,4,4
4,5,6,6,4,4,6,6,5,4,5,6,6,4,4,5,6,6,5,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,4,6,6,6,4,4,6,4,4,2,2,3,2,5,3,4,2,4,2,2,2,2,4,3,2,3,2,3
5,5,4,5,5,6,7,4,5,7,5,4,4,5,7,5,5,6,5,4,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,5,4,5,4,5,3,4,4,6,5,3,6,4,4,2,5,4,2,4,5,2,4,2,4,5,4,2,3,3,4
5,4,6,6,5,7,7,5,5,6,6,6,6,5,5,7,6,6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,2,6,6,6,2,2,7,2,4,3,2,2,2,6,5,3,1,4,2,2,2,2,4,4,2,5,2,6
5,5,5,7,6,7,7,5,5,7,6,5,6,7,7,6,6,3,5,6,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5,5,3,4,6,2,6,3,7,5,2,5,3,6,5,6,7,5,4,4,3,2,2,2,5,6,6,4,3,5
4,4,7,6,5,6,6,5,5,7,5,5,4,6,5,7,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,5,6,4,6,5,5,5,6,5,4,5,4,5,3,6,5,6,5,5,4,4,4,4,4,5,5,4,4,7
5,6,7,6,5,5,7,3,5,6,6,6,5,6,3,6,7,6,6,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,6,6,5,5,6,6,6,3,7,3,6,3,2,2,3,5,7,2,2,5,2,2,3,6,5,3,3,5,2,6
5,5,5,6,6,6,7,6,6,7,6,6,6,6,5,7,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6,6,6,6,6,5,6,6,7,4,5,4,3,2,4,6,6,3,2,4,2,2,2,2,6,3,2,6,1,4
6,6,7,7,6,7,7,6,6,7,6,5,7,7,3,7,7,7,5,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,6,4,2,6,7,6,5,5,7,1,4,5,3,2,4,5,5,1,2,2,5,2,3,2,5,4,3,4,5,5
5,5,6,7,6,7,7,6,6,7,6,6,6,7,6,7,6,7,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,7,6,6,6,6,6,7,6,6,4,3,5,2,2,5,5,4,3,4,4,2,2,4,4,4,4,4,2,4
5,5,6,7,6,7,7,5,6,5,7,7,7,4,2,7,7,5,5,7,1,1,1,1,1,0,1,1,1,0,1,0.87,1,0,0,1,1,0,0,1,5,6,6,3,5,6,6,6,6,7,6,5,5,4,4,7,7,6,4,6,6,5,4,6,3,5,5,7,4,6
4,3,1,3,3,4,7,3,4,2,4,3,5,7,7,4,6,3,4,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,7,6,2,1,1,7,7,1,7,7,6,1,7,3,7,7,7,7,6,7,6,7,7,7,7,7,4,5,2
5,3,6,6,5,6,5,5,6,6,5,3,5,5,3,6,6,5,5,5,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,5,5,5,6,6,6,5,4,6,2,5,5,3,4,2,4,5,2,3,4,2,5,2,5,4,5,4,6,4,4
4,3,5,5,3,4,6,4,4,4,5,4,4,4,5,4,5,7,4,5,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,6,5,6,5,4,4,5,5,4,5,4,5,5,6,5,7,7,7,2,6,4,4,5,5,5,6,4,2,4,6
5,4,6,6,3,7,7,5,6,5,6,4,6,4,6,6,6,5,5,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,5,6,5,5,6,5,6,6,6,6,3,5,3,4,4,5,7,3,4,5,2,2,3,3,3,3,2,3,1,2
5,5,6,5,5,5,7,5,6,5,7,5,6,7,5,7,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,5,4,5,5,5,6,6,5,4,3,3,6,6,5,2,5,3,2,2,3,5,5,2,6,2,6
5,5,5,5,5,4,6,5,4,5,3,3,4,5,4,6,6,4,4,4,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,5,6,5,7,5,5,5,5,5,6,3,3,4,4,4,4,5,2,4,3,2,4,3,3,4,4,2,5,4,3
5,5,7,7,7,7,5,6,5,7,6,7,6,6,5,6,7,7,7,6,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,6,6,6,6,6,6,6,2,6,6,3,1,2,2,6,6,1,1,6,1,1,1,2,1,5,2,6,1,7
5,6,5,7,5,7,6,6,6,7,5,4,4,6,2,6,5,4,4,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,4,5,5,4,4,3,3,4,4,4,4,4,4,3,3,5,5,2,4,5,4,3,4,3,6,5,4,4,2,6
5,5,7,7,5,7,7,5,5,5,3,4,6,4,4,7,6,2,6,5,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,5,5,6,4,5,3,5,7,4,5,4,3,2,5,2,5,7,4,4,5,2,2,3,2,4,6,2,2,2,1
5,5,7,6,5,5,6,6,6,7,5,1,6,6,6,1,5,6,6,6,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,5,3,5,3,7,7,2,5,6,2,6,6,1,3,4,2,5,6,2,6,2,1,2,2,3,2,1,3,5,7
5,5,5,6,5,6,7,5,5,6,6,5,5,5,5,6,6,6,7,5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,4,5,5,5,4,6,5,5,4,2,3,4,7,7,2,3,6,3,2,2,5,2,3,2,3,6,5
5,5,7,7,5,6,7,6,5,6,5,4,7,7,5,7,6,2,5,7,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6,2,4,5,6,5,3,5,7,1,4,4,4,2,4,5,6,2,2,5,2,2,1,4,5,2,2,7,2,7
5,5,6,7,5,5,7,5,6,7,7,6,6,5,3,2,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,7,4,5,6,5,3,5,6,5,4,3,3,3,2,5,5,2,3,4,4,2,2,3,3,3,4,2,2,6
6,6,7,7,7,4,6,6,6,7,7,6,7,7,1,7,7,7,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,6,7,6,7,7,7,6,7,6,7,6,4,2,3,2,7,7,1,1,6,2,2,2,5,3,6,4,4,3,5
5,5,5,4,5,5,5,4,3,5,4,4,5,5,4,4,5,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,3,5,6,2,3,4,5,4,4,5,3,5,4,5,4,6,4,3,4,3,3,3,4,3,4,3,4,3,4,3
6,6,6,6,3,7,7,5,7,5,5,6,5,6,3,5,4,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,2,6,6,6,3,3,7,2,4,2,4,2,4,5,7,2,2,4,2,4,4,2,4,2,1,6,1,2
5,5,7,7,3,5,7,5,5,3,5,4,5,4,4,7,5,7,5,5,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,4,6,6,5,4,2,5,6,3,5,3,5,2,4,5,5,7,6,2,4,2,5,5,2,7,5,3,4,4,7
5,5,6,6,4,6,7,5,5,6,6,5,4,6,6,7,5,6,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,5,5,5,3,5,7,4,5,5,2,3,5,6,7,1,4,6,2,3,5,2,6,4,1,3,1,5
4,5,6,5,5,6,7,6,6,6,6,5,5,7,6,6,6,7,5,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,2,5,4,3,5,3,3,5,6,3,5,4,6,6,2,4,5,4,4,2,5,5,4,3,3,4,6
5,5,6,6,5,5,6,5,6,5,6,5,5,6,3,7,5,5,5,6,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,5,6,4,6,6,5,6,4,6,6,4,4,4,4,3,6,6,3,2,4,4,3,4,3,5,4,4,3,4,4
5,5,5,6,5,5,4,5,6,6,5,3,3,3,5,6,5,4,4,5,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4,5,4,3,5,5,4,4,5,3,2,2,3,2,4,6,6,5,3,2,3,3,4,2,4,4,4,5,5,3
5,4,5,5,5,4,6,4,4,5,4,3,5,4,6,4,5,3,3,5,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,7,5,5,5,4,4,4,5,5,5,4,5,3,4,4,4,4,5,5,5,5,5
6,5,7,5,5,7,7,5,6,4,7,5,5,7,5,7,5,6,5,5,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,4,4,4,5,4,5,3,3,6,4,5,5,4,6,4,6,7,4,4,5,4,4,4,3,2,5,3,6,4,3
5,6,5,5,7,7,5,6,6,4,4,4,3,7,4,7,7,6,3,5,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,5,6,7,3,4,4,7,7,6,6,4,4,3,5,4,7,7,5,5,6,4,3,4,4,3,5,6,5,3,5
5,5,5,5,4,6,7,5,6,6,5,5,3,5,6,6,4,5,5,5,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0.55,1,4,6,5,4,4,4,6,6,5,6,6,6,6,6,4,7,7,7,2,7,6,2,2,3,4,5,3,5,6,7
5,5,6,5,5,6,7,6,6,7,5,4,6,6,6,7,4,6,6,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,6,6,6,7,6,6,2,4,7,1,3,4,2,2,2,5,4,3,2,4,2,3,2,3,4,3,2,4,2,4
6,6,5,6,5,7,7,5,5,6,5,2,5,5,4,1,5,4,4,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3,6,6,5,5,4,6,6,7,7,7,7,5,2,2,5,7,3,4,5,2,4,4,3,4,7,4,2,2,7
3,6,7,6,5,5,6,4,5,2,4,3,7,6,6,7,6,7,4,5,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,4,6,6,3,5,6,6,6,7,7,3,5,4,4,7,5,6,6,4,6,3,3,2,3,6,7,5,2,3,6
5,5,5,5,5,5,6,5,5,5,5,4,6,4,4,6,6,4,5,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,6,4,5,5,6,5,4,4,3,4,3,5,5,4,3,4,2,2,4,2,4,4,2,4,4,4
6,4,5,7,5,7,7,6,5,7,7,4,6,6,2,5,6,7,6,6,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7,7,6,6,7,5,4,4,7,1,4,5,2,2,6,5,7,2,5,4,3,4,2,2,4,3,2,6,2,5
